Date,Time,location_name,latitude,longitude,pm25,datetime,AQI
2025-01-09,13:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,10.13,2025-01-09 13:00:00,42.2
2025-01-09,14:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,9.64,2025-01-09 14:00:00,40.2
2025-01-09,15:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,10.4,2025-01-09 15:00:00,43.3
2025-01-09,16:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,11.87,2025-01-09 16:00:00,49.5
2025-01-09,17:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,15.81,2025-01-09 17:00:00,58.8
2025-01-09,18:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,19.06,2025-01-09 18:00:00,65.6
2025-01-09,19:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,15.56,2025-01-09 19:00:00,58.3
2025-01-09,20:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,10.36,2025-01-09 20:00:00,43.2
2025-01-09,21:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,11.73,2025-01-09 21:00:00,48.9
2025-01-09,22:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,13.79,2025-01-09 22:00:00,54.6
2025-01-09,23:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,9.59,2025-01-09 23:00:00,40.0
2025-01-10,0:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,11.6,2025-01-10 00:00:00,48.3
2025-01-10,1:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,10.85,2025-01-10 01:00:00,45.2
